Time,Channel A
(ms),(V)

1.75845584,0.01863927
1.75851184,0.03727854
1.75856784,0.03727854
1.75862384,0.01863927
1.75867984,0.01863927
1.75873584,0.00000000
1.75879184,0.00000000
1.75884784,-0.01863927
1.75890384,-0.01863927
1.75895984,-0.01863927
1.75901584,0.00000000
1.75907184,0.00000000
1.75912784,0.01863927
1.75918384,0.01863927
1.75923984,0.01863927
1.75929584,0.01863927
1.75935184,0.01863927
1.75940784,0.03727854
1.75946384,0.03727854
1.75951984,0.03727854
1.75957584,0.03727854
1.75963184,0.03727854
1.75968784,0.03727854
1.75974384,0.03727854
1.75979984,0.05591781
1.75985584,0.05591781
1.75991184,0.07455709
1.75996784,0.07455709
1.76002384,0.07455709
1.76007984,0.05591781
1.76013584,0.03727854
1.76019184,0.03727854
1.76024784,0.03727854
1.76030384,0.03727854
1.76035984,0.01863927
1.76041584,0.01863927
1.76047184,0.01863927
1.76052784,0.01863927
1.76058384,0.01863927
1.76063984,0.01863927
1.76069584,0.01863927
1.76075184,0.01863927
1.76080784,0.03727854
1.76086384,0.03727854
1.76091984,0.03727854
1.76097584,0.05591781
1.76103184,0.05591781
1.76108784,0.05591781
1.76114384,0.07455709
1.76119984,0.07455709
1.76125584,0.09325787
1.76131184,0.09325787
1.76136784,0.11189710
1.76142384,0.11189710
1.76147984,0.11189710
1.76153584,0.11189710
1.76159184,0.09325787
1.76164784,0.07455709
1.76170384,0.05591781
1.76175984,0.05591781
1.76181584,0.05591781
1.76187184,0.03727854
1.76192784,0.03727854
1.76198384,0.03727854
1.76203984,0.03727854
1.76209584,0.03727854
1.76215184,0.05591781
1.76220784,0.05591781
1.76226384,0.07455709
1.76231984,0.05591781
1.76237584,0.07455709
1.76243184,0.07455709
1.76248784,0.07455709
1.76254384,0.09325787
1.76259984,0.09325787
1.76265584,0.07455709
1.76271184,0.07455709
1.76276784,0.07455709
1.76282384,0.09325787
1.76287984,0.09325787
1.76293584,0.09325787
1.76299184,0.11189710
1.76304784,0.11189710
1.76310384,0.13053640
1.76315984,0.13053640
1.76321584,0.11189710
1.76327184,0.11189710
1.76332784,0.11189710
1.76338384,0.11189710
1.76343984,0.09325787
1.76349584,0.09325787
1.76355184,0.07455709
1.76360784,0.07455709
1.76366384,0.07455709
1.76371984,0.07455709
1.76377584,0.07455709
1.76383184,0.07455709
1.76388784,0.05591781
1.76394384,0.07455709
1.76399984,0.09325787
1.76405584,0.09325787
1.76411184,0.11189710
1.76416784,0.11189710
1.76422384,0.11189710
1.76427984,0.11189710
1.76433584,0.13053640
1.76439184,0.13053640
1.76444784,0.13053640
1.76450384,0.13053640
1.76455984,0.11189710
1.76461584,0.11189710
1.76467184,0.09325787
1.76472784,0.09325787
1.76478384,0.09325787
1.76483984,0.11189710
1.76489584,0.11189710
1.76495184,0.11189710
1.76500784,0.11189710
1.76506384,0.11189710
1.76511984,0.13053640
1.76517584,0.13053640
1.76523184,0.14917570
1.76528784,0.14917570
1.76534384,0.14917570
1.76539984,0.14917570
1.76545584,0.13053640
1.76551184,0.13053640
1.76556784,0.13053640
1.76562384,0.13053640
1.76567984,0.13053640
1.76573584,0.13053640
1.76579184,0.13053640
1.76584784,0.11189710
1.76590384,0.11189710
1.76595984,0.11189710
1.76601584,0.11189710
1.76607184,0.11189710
1.76612784,0.11189710
1.76618384,0.11189710
1.76623984,0.09325787
1.76629584,0.11189710
1.76635184,0.11189710
1.76640784,0.11189710
1.76646384,0.13053640
1.76651984,0.13053640
1.76657584,0.13053640
1.76663184,0.14917570
1.76668784,0.14917570
1.76674384,0.14917570
1.76679984,0.14917570
1.76685584,0.14917570
1.76691184,0.14917570
1.76696784,0.14917570
1.76702384,0.13053640
1.76707984,0.13053640
1.76713584,0.13053640
1.76719184,0.13053640
1.76724784,0.13053640
1.76730384,0.14917570
1.76735984,0.14917570
1.76741584,0.14917570
1.76747184,0.14917570
1.76752784,0.14917570
1.76758384,0.14917570
1.76763984,0.16787650
1.76769584,0.14917570
1.76775184,0.16787650
1.76780784,0.14917570
1.76786384,0.14917570
1.76791984,0.14917570
1.76797584,0.14917570
1.76803184,0.14917570
1.76808784,0.14917570
1.76814384,0.14917570
1.76819984,0.13053640
1.76825584,0.14917570
1.76831184,0.14917570
1.76836784,0.14917570
1.76842384,0.16787650
1.76847984,0.16787650
1.76853584,0.14917570
1.76859184,0.14917570
1.76864784,0.14917570
1.76870384,0.14917570
1.76875984,0.13053640
1.76881584,0.11189710
1.76887184,0.11189710
1.76892784,0.11189710
1.76898384,0.11189710
1.76903984,0.13053640
1.76909584,0.13053640
1.76915184,0.16787650
1.76920784,0.18651570
1.76926384,0.18651570
1.76931984,0.20515500
1.76937584,0.18651570
1.76943184,0.20515500
1.76948784,0.18651570
1.76954384,0.18651570
1.76959984,0.18651570
1.76965584,0.16787650
1.76971184,0.14917570
1.76976784,0.14917570
1.76982384,0.13053640
1.76987984,0.11189710
1.76993584,0.11189710
1.76999184,0.11189710
1.77004784,0.11189710
1.77010384,0.13053640
1.77015984,0.14917570
1.77021584,0.16787650
1.77027184,0.18651570
1.77032784,0.20515500
1.77038384,0.20515500
1.77043984,0.20515500
1.77049584,0.20515500
1.77055184,0.20515500
1.77060784,0.20515500
1.77066384,0.18651570
1.77071984,0.18651570
1.77077584,0.16787650
1.77083184,0.16787650
1.77088784,0.16787650
1.77094384,0.14917570
1.77099984,0.14917570
1.77105584,0.13053640
1.77111184,0.13053640
1.77116784,0.13053640
1.77122384,0.14917570
1.77127984,0.14917570
1.77133584,0.16787650
1.77139184,0.16787650
1.77144784,0.16787650
1.77150384,0.14917570
1.77155984,0.14917570
1.77161584,0.14917570
1.77167184,0.16787650
1.77172784,0.16787650
1.77178384,0.18651570
1.77183984,0.18651570
1.77189584,0.20515500
1.77195184,0.20515500
1.77200784,0.20515500
1.77206384,0.20515500
1.77211984,0.20515500
1.77217584,0.20515500
1.77223184,0.18651570
1.77228784,0.16787650
1.77234384,0.14917570
1.77239984,0.13053640
1.77245584,0.13053640
1.77251184,0.13053640
1.77256784,0.13053640
1.77262384,0.13053640
1.77267984,0.14917570
1.77273584,0.16787650
1.77279184,0.18651570
1.77284784,0.18651570
1.77290384,0.20515500
1.77295984,0.20515500
1.77301584,0.20515500
1.77307184,0.20515500
1.77312784,0.20515500
1.77318384,0.18651570
1.77323984,0.18651570
1.77329584,0.16787650
1.77335184,0.14917570
1.77340784,0.14917570
1.77346384,0.13053640
1.77351984,0.13053640
1.77357584,0.13053640
1.77363184,0.13053640
1.77368784,0.13053640
1.77374384,0.14917570
1.77379984,0.14917570
1.77385584,0.16787650
1.77391184,0.18651570
1.77396784,0.18651570
1.77402384,0.20515500
1.77407984,0.20515500
1.77413584,0.20515500
1.77419184,0.18651570
1.77424784,0.18651570
1.77430384,0.16787650
1.77435984,0.16787650
1.77441584,0.16787650
1.77447184,0.18651570
1.77452784,0.18651570
1.77458384,0.18651570
1.77463984,0.18651570
1.77469584,0.16787650
1.77475184,0.16787650
1.77480784,0.16787650
1.77486384,0.14917570
1.77491984,0.14917570
1.77497584,0.14917570
1.77503184,0.16787650
1.77508784,0.14917570
1.77514384,0.14917570
1.77519984,0.14917570
1.77525584,0.13053640
1.77531184,0.13053640
1.77536784,0.13053640
1.77542384,0.14917570
1.77547984,0.16787650
1.77553584,0.16787650
1.77559184,0.18651570
1.77564784,0.18651570
1.77570384,0.20515500
1.77575984,0.20515500
1.77581584,0.20515500
1.77587184,0.20515500
1.77592784,0.20515500
1.77598384,0.18651570
1.77603984,0.18651570
1.77609584,0.16787650
